Symptom,Frequency
pt complications,1
thyroid levels thyroid medication,1
shot swollen,1
arm dead,1
hand also swollen,1
lymph nodes left armpit swollen sore,1
worst pain life,1
lymph nodes head,1
shooting pains armpit neck/chin lymph nodes,1
known pain,1
soreness left arm lymph nodes,1
invasive ductal carcinoma,1
nothing severe,1
5 pm body aches,1
tingling hands/feet,1
free muscle twitching,1
pad,1
severe doe,1
pts copd,1
evolving asmi,1
imi,1
obstructive cad,1
severe copd exaccerbation,1
arrythmias,1
trop leak,1
likley demand,1
bruit,1
constant heart palpitations,1
"tingling numbness left side body ( including face , head , neck , shoulder , arm , hand )",1
feeling swelling eye lids,1
visible swelling,1
pain behind left eye,1
pain left temple,1
slight vision change ( blurriness ) right eye,1
childhood asthma,1
cxr-bilat infiltrates,1
pts skin whole body red,1
client loss responsiveness,1
client sweating,1
"pallor observed face , arms neck",1
mild headache pain scale,1
client scrape left upper side eye mild bleeding,1
exact issues,1
lingering sinus infection,1
exact symptoms,1
high fevers flu/covid like symptoms,1
three high fever episodes,1
eczema flare,1
severe dandruff facial bumps,1
beneath skin brown spots,1
chest rash,1
umbilical abdominal pain,1
intense umbilical pain,1
coming nausea 2 bouts vomiting blood vomit,1
completely asymptomatic nausea,1
emphysematous changes acute process,1
aki ( acute kidney injury,1
inflammation around chest heart,1
rash/ irritation around injection site,1
numbness bottoms feet,1
numbness right side mouth,1
basal ganglia hemorrhage,1
increased respiratory rate,1
decreased baseline,1
mildly swollen unable abduct arm shoulder,1
nerve symptoms,1
patient shoulder pain,1
enlarged nodes arm,1
chronical urticaria hives,1
partially paralyzed,1
type reaction muscle relaxer,1
another paralysis episode,1
loss strength function,1
"short , labored breathing",1
severe reactions measure,1
marked weakness,1
primary viral myositis,1
marked effects,1
muscular group fatigue,1
marked decline,1
mild cough rash,1
stabbing type pain sternum,1
3 pain,1
right adnexal lesion,1
worsened chronic low back pain,1
burning pain lateral aspect right leg,1
positive hypomagnesemia,1
typical events,1
recent several unexplainable unwitnessed falls,1
profound fatigue,1
fatigued mild exertion,1
hypomagnesaemia,1
facial contusion,1
non-insulin dependent diabetes mellitus type 2/hypertension,1
fall/syncope,1
/shortness breath,1
seizure-like activity aura prior fall/syncope,1
similar events,1
trace bl pleural effusions,1
left ventricular diastolic function abnormal,1
left upper extremity injury,1
severe neutropenia,1
"rash arms , legs , hands , feet",1
medication rash,1
immediate adverse effects,1
stomach headache,1
client stomach pain,1
slight stomachache,1
head moving,1
really cold high fever,1
pills vomiting,1
mood changes,1
slow tongue,1
lesions upper palate,1
symptoms effects vaccine,1
acute chest wall pain,1
acute coronary syndrome,1
nonerythematous firm chest wall mass,1
simultaneously rash upper shoulders,1
pityriasis,1
pink-tan macules,1
flat macules,1
swelling elbow,1
single palpable cervical lymph node,1
tietze 's syndrome,1
pityriasis extremity joint involvement,1
nasal bridge swelling,1
relapsing polychondritis vestibular/acoustic/otic ophthalmic involvement,1
blood shot eyes,1
hypoplastic left heart,1
atrial flutter,1
later pain neck,1
decrease pain,1
left ear congestion,1
left elbow large swelling,1
2 days chills,1
left frontal grade 3 anaplastic oligodendroglioma,1
enlarging recurrent left frontal enhancing mass cerebral edema,1
recurrence cerebral edema,1
site prior recurrences,1
slow respond,1
low grade temp room air cough,1
muscle twitches,1
occasional blurred vision,1
sudden weakness,1
muscle weakness legs point,1
"severe , persistent migraine",1
head swells,1
glass sink side head,1
polymyositis,1
restrictive lung disease,1
graves dis,1
chronic afib,1
productive clear sputum,1
abdomen pain,1
ha confusion,1
chronic peripheral edema,1
chronic vascular leg wounds,1
3 loose stools,1
medial rul airspace dis,1
left basilar atelectasis,1
airspace dis ``,1
patchy consolidation rul patchy ground-glass changes seen left lingula,1
frontal ha,1
abrasion right side face,1
area injury pain,1
acutely worsened sob,1
quite anxious,1
primary symptoms,1
sharp discomfort radiate,1
first period pain,1
exacerbated pain,1
unremitting pain,1
significant pudendal nerve pain problems,1
neurological problem,1
significant neurological problems,1
pudendial neuralgia,1
sore arm nothing,1
red swollen around injection site,1
gastrointestinal discomfort,1
triage shortness breath,1
emphysema,1
pvcs short runs nsvt,1
4-8 beats ),1
accelerated idioventricular rhythm telemetry,1
on-going dyspnea,1
headaches migraines,1
acute delirum,1
abnormal lab values,1
pfo tbi paradoxical embolism,1
left cerebellar infarct,1
history laryngeal cancer,1
mild dysphagia,1
history dvt,1
chronic lbbb new st changes,1
patient hypoxic presentation,1
desat room air,1
chronic hfref,1
icm sinus exit block,1
elevated troponin-likely demand ischemia,1
new anterolateral wall motion abnormality,1
pfo paradoxical embolism,1
dvt -pharm,1
goal azotemia,1
extreme pain head one side,1
severe stomach pain vomiting,1
vaccine allergy,1
similar reaction scratchy throat,1
vaccine allergies,1
vaccine side effects symptoms,1
ischemic stroke lead hemorrhagic stroke,1
hospital stroke,1
runny nose itchy eyes,1
loose sense taste smell,1
blur vision,1
post- vaccine menorrhagia,1
heavy abdominal cramping,1
lightheaded-ness,1
weakness standing,1
burning sensations body,1
skin infection,1
hives/ allergic reaction,1
pt pain,1
arm pit swelled sharp pain shoulder,1
arm pit radiating hand,1
mild armpit pain injection arm,1
severe pain armpit,1
patient fainting,1
patient syndrome,1
heat/soreness left underarm,1
symptoms adverse effect,1
pain stiffness,1
moderate severe pain,1
severely impacted,1
alittle tired,1
intermittent sore throat,1
mild nasal congestion,1
sore throat ear pain,1
large sore week,1
mild headache brain fog,1
mild ha/brain fog,1
pain axilla,1
last night reactive lymphadenopathy,1
unpleasant side effects,1
serious reaction,1
large immune response,1
fatigue 2 weeks,1
left sided,1
constant dull ache,1
occasional 'pings ,1
extreme right knee pain,1
swelling joint stiffness,1
rash formed knee,1
vaginal irritation pain,1
several open lesions,1
emotional distress,1
physical discomfort,1
others symptoms,1
nasal discharge,1
skin hypersensitivity,1
full-body rash,1
rash urticarial nature,1
swollen armpit area,1
"rash stomach , legs arms",1
stage iii b cell lymphoblastic lymphoma,1
immediate anaphylactic response,1
vital sign abnormalities,1
mild itching along back,1
small quarter sized erythema,1
"back , chest , abdomen , legs notable rashes concerns",1
small area erythema,1
additional erythema,1
notable angioedema,1
tongue/lip/oral cavity swelling,1
vaccine fatigue,1
congested fatigue sore throat,1
anxiety needles,1
mild symptom chills,1
legs weak,1
chest discomfort numbness right extremity,1
morning numbness tingling hands feet,1
morning numbness tingling hand feet,1
mild bacterial pneumonia,1
several new worsening side effects,1
muscle/body aches tinnitus,1
occasional rapid heart rate,1
fluttering sensation chest,1
red dry eyes,1
different side effects,1
headache head pressure,1
noticeable stomach issues,1
decreased amount stool passage,1
pressure headaches,1
"st , ear pain",1
fatigue loss smell,1
congestive headache,1
terrible pains right side right shoulder blade,1
gray mass attached rib cage,1
persistent ringing ears,1
chronic dizziness,1
severe panic attacks,1
upper respiratory symptoms,1
hypertriglyceridemia chronic epigastric abdominal pain,1
last night pain,1
sharp intermittent,1
vomiting brown color,1
epigastric tenderness,1
masses,1
rebound guarding,1
traumatic brain injury,1
secondary hypertriglyceridemia,1
dvt eliquis,1
cough abdominal pain,1
brownish emesis diarrhea,1
hematemesis urinary s/s,1
enlarged lymph node armpit,1
lymphadenitis,1
unable stand walk,1
lymphocytosis,1
palpitations upset stomach,1
bit dizzy sat upright,1
black spots,1
terrible arrhythmia,1
arrhythmia tachycardia,1
worsening rosacea symptoms face,1
bruising legs,1
petechiae lower extremities,1
anxious vaccinations,1
muscle cramps body stomach ache,1
purple,1
burn hurt,1
back granuloma annulare,1
dizzy sat ground,1
loss consciousness seated position,1
vyrtigo lying,1
unbalance,1
foul taste mouth general discomfort,1
throat bruised,1
left eye continued twitch,1
mild across forehead,1
pitting edema ble,1
worsened worsened anasarca sob,1
disease infection,1
minimal change disease,1
improved proteinuria,1
patient lying elevation legs,1
back senses,1
vomit mucus,1
advil helping symptoms,1
dyspnea/chest pain,1
ill contacts,1
uvula midline,1
patient red,1
itchy rash site injection,1
rash spread arms upper body,1
excessive unusual bleeding clotting,1
anterior nasal discharge,1
generalized myalgias,1
cold issues,1
test complications,1
hives outer r corner injection site,1
several streaks redness l axilla,1
hives l elbow,1
hives l wrist hives,1
itching swelling,1
new hives- 2 dime sized areas,1
red streaks,1
circumoral swelling,1
free wheezing,1
area hives,1
new quarter sized redness r side neck,1
quarter sized redness r side neck,1
decreased size pea,1
new hives/redness body,1
new hives symptoms,1
left sided pulsing chest pain,1
onset pain,1
swelling throat face,1
prediabetes high cholesterol,1
onset chest pain,1
familiar hypoxic symptoms,1
large deep breath,1
patient injury,1
bloody nose soaked pillow case,1
nose continued bleeding,1
lot blood volume bloody nose,1
intense throbbing base skull,1
increased risk adverse reaction side effects,1
fast heart rate feeling,1
shot swollen lymph node left armpit,1
crushing chest pain,1
pain jaw teeth,1
slight chest pain,1
slight pain injection site,1
2nd emetic event,1
collapsed left lung,1
paralysis episode,1
patient episodes,1
dull pain collarbone area,1
lump collarbone,1
pain armpits,1
severe lymph node swelling,1
multiple areas around head torso lymph node swelling painful,1
arm still bleeding,1
fever severe headache,1
high fever severe headache,1
crying painful arm,1
panic severe headache,1
rapid breathing,1
fever heartrate,1
unusual bruising shoulders arms,1
severe aches pins,1
somewhat anxious cry,1
white/pale,1
color tremors,1
anxiety attacks school,1
nausea symptoms,1
filling dizzy,1
heaviness neck stomach,1
chest burning,1
lower pain left side rib cage,1
heavy pain,1
dull achy pain left side chest,1
heart stabbing heart palpitations,1
rapid heart beat chest pain,1
left arm pain locked jaw,1
body aches lower back whole midsection body,1
sudden weight loss,1
mild moderate pain radiating injection site,1
mildly bruised,1
mild persistent dizziness,1
mild dizziness,1
noticeable symptom,1
inner-ear imbalance symptom,1
cold sick stomach,1
much less normal headache,1
faulty syringe inadvertent depression syringe plunger prior puncturing skin,1
blood blisters,1
vessel hit patient immediate swelling site hematoma,1
rash swelling site,1
site swelling,1
still bumpy rash hematoma,1
swollen arm swollen lymph node axilla,1
pain arm site injection pain neck,1
unremarkable pregnancy,1
placenta previa,1
slightly elevated msafp,1
patient chest pressure shortness breath,1
loud low pitch sound vibrating brain,1
weak muscles legs,1
ongoing ) weak muscles,1
mom sneezing headaches,1
handkerchief,1
dark blood mucus,1
hives itchy skins,1
arthralgia left hand,1
gradual decline periodic reoccurrence arthralgia,1
last occurrence arthralgia,1
inflammation joint stiffness,1
warmth throughout body lower lip tongue twitching,1
pins needles throughout arm,1
intense pressure head left eye slightly cloudy vision,1
muscles weak mental fogginess,1
numbness left side extremities,1
heaviness extremities,1
stiffness muscle face,1
leaking fluids black coloring foot,1
necrotizing fascitis foot,1
elevated usual temp,1
large & small joints painful,1
whole body shaking,1
cold fear,1
extremely tight sore,1
limited mobility neck,1
primary adverse event,1
extreme soreness/pain,1
